Action Num,HandNum,TimeStamp,Small Blind,Big Blind,StartHeroTurn,Game Phase,Hero Chips,Villain Chips,Pot Chips,Hole Cards,Board Cards,Log Line
0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
"
1,1,"13:11:02,067",10,20,False,PREFLOP,4980,4980,40,"[?s,?h]",,"Guest15166 calls $10.
"
2,1,"13:11:02,119",10,20,True,PREFLOP,4980,4960,60,"[?s,?h]",,"Guest84440 bets $20.
"
3,1,"13:11:05,412",10,20,False,PREFLOP,4960,4960,80,"[?s,?h]",,"Guest15166 calls $20.
"
4,1,"13:11:05,460",10,20,False,FLOP,4960,4960,80,"[?s,?h]","[2h,Ah,Ts]","FLOP [board cards 2h,Ah,Ts]
"
5,1,"13:11:14,677",10,20,True,FLOP,4960,4960,80,"[?s,?h]","[2h,Ah,Ts]","Guest84440 checks.
"
6,1,"13:11:14,860",10,20,False,FLOP,4960,4960,80,"[?s,?h]","[2h,Ah,Ts]","Guest15166 checks.
"
7,1,"13:11:14,860",10,20,False,TURN,4960,4960,80,"[?s,?h]","[2h,Ah,Ts,Ad]","TURN [board cards 2h,Ah,Ts,Ad]
"
8,1,"13:11:22,461",10,20,True,TURN,4960,4960,80,"[?s,?h]","[2h,Ah,Ts,Ad]","Guest84440 checks.
"
9,1,"13:11:22,590",10,20,False,TURN,4960,4960,80,"[?s,?h]","[2h,Ah,Ts,Ad]","Guest15166 checks.
"
10,1,"13:11:22,641",10,20,False,RIVER,4960,4960,80,"[?s,?h]","[2h,Ah,Ts,Ad,Ks]","RIVER [board cards 2h,Ah,Ts,Ad,Ks]
"
11,1,"13:11:30,654",10,20,True,RIVER,4960,4960,80,"[?s,?h]","[2h,Ah,Ts,Ad,Ks]","Guest84440 checks.
"
12,1,"13:11:30,784",10,20,False,RIVER,4960,4960,80,"[?s,?h]","[2h,Ah,Ts,Ad,Ks]","Guest15166 checks.
"
12,1,"13:11:30,784",10,20,False,RIVER,4960,4960,80,"[?s,?h]","[2h,Ah,Ts,Ad,Ks]","Guest84440 shows [ 6h,6d] - Two Pair, Aces and Sixes
"
13,1,"13:11:30,837",10,20,False,RIVER,4960,5040,0,"[?s,?h]","[2h,Ah,Ts,Ad,Ks]","Guest84440 wins $80
"
14,2,"13:11:37,988",10,20,False,PREFLOP,4940,5030,30,"[?s,?h]",,"PREFLOP
"
15,2,"13:11:41,745",10,20,True,PREFLOP,4940,5020,40,"[?s,?h]",,"Guest84440 calls $10.
"
16,2,"13:11:41,887",10,20,False,PREFLOP,4920,5020,60,"[?s,?h]",,"Guest15166 bets $20.
"
17,2,"13:11:45,705",10,20,True,PREFLOP,4920,5000,80,"[?s,?h]",,"Guest84440 calls $20.
"
18,2,"13:11:45,727",10,20,True,FLOP,4920,5000,80,"[?s,?h]","[Qh,9s,4c]","FLOP [board cards Qh,9s,4c]
"
19,2,"13:11:53,273",10,20,False,FLOP,4920,5000,80,"[?s,?h]","[Qh,9s,4c]","Guest15166 folds.
"
20,2,"13:11:53,330",10,20,False,FLOP,4920,5080,0,"[?s,?h]","[Qh,9s,4c]","Guest84440 wins $80
"
21,2,"13:11:57,583",10,20,False,FLOP,4920,5080,0,"[?s,?h]","[Qh,9s,4c]","Guest84440 shows [Ac,Kc]
"
22,3,"13:12:00,414",10,20,True,PREFLOP,4910,5060,30,"[Qh,3c]",,"PREFLOP
"
23,3,"13:12:03,408",10,20,False,PREFLOP,4900,5060,40,"[Qh,3c]",,"Guest15166 calls $10.
"
24,3,"13:12:04,956",10,20,True,PREFLOP,4900,5060,40,"[Qh,3c]",,"Guest84440 checks.
"
25,3,"13:12:04,978",10,20,False,FLOP,4900,5060,40,"[Qh,3c]","[4d,Kc,Ad]","FLOP [board cards 4d,Kc,Ad]
"
26,3,"13:12:10,193",10,20,True,FLOP,4900,5040,60,"[Qh,3c]","[4d,Kc,Ad]","Guest84440 bets $20.
"
27,3,"13:12:13,031",10,20,False,FLOP,4880,5040,80,"[Qh,3c]","[4d,Kc,Ad]","Guest15166 calls $20.
"
28,3,"13:12:14,031",10,20,False,TURN,4880,5040,80,"[Qh,3c]","[4d,Kc,Ad,6h]","TURN [board cards 4d,Kc,Ad,6h]
"
29,3,"13:12:15,950",10,20,True,TURN,4880,5020,100,"[Qh,3c]","[4d,Kc,Ad,6h]","Guest84440 bets $20.
"
