SubjectNum,RecStart,HeroName,VillainName
1,"13:07:56,833",Guest15166,Guest84440
2,"13:07:45,867",Guest84440,Guest15166
3,"14:38:37,633",Guest79758,Guest51383
4,"14:38:10,833",Guest51383,Guest79758
5,"11:33:47,800",Guest46167,Guest38186
6,"11:32:51,767",Guest38186,Guest46167
7,"14:39:32,733",Guest37039,Guest62359
8,"14:38:50,033",Guest62359,Guest37039
9,"15:55:46,600",Guest21880,Guest16905
10,"15:55:12,867",Guest16905,Guest21880
11,"12:39:00,467",Guest05282,Guest16732
12,"12:38:29,300",Guest16732,Guest05282
13,"12:57:21,800",Guest36473,Guest67765
14,"12:56:39,600",Guest67765,Guest36473
15,"15:16:22,700",Guest26952,Guest66825
16,"15:15:42,600",Guest66825,Guest26952
17,"12:07:52,867",Guest77947,Guest23011
18,"15:10:30,200",Guest01079,Guest22962
19,"15:08:46,167",Guest84002,Guest61780
20,"20:56:15,600",Guest47493,Guest14753
21,"14:34:15,867",Guest55590,Guest63486
22,"14:33:18,467",Guest63486,Guest55590
23,"18:23:59,633",Guest28637,Guest31138
24,"18:23:10,667",Guest31138,Guest28637
25,"19:34:15,833",Guest99000,Guest60332
26,"19:33:40,500",Guest60332,Guest99000
27,"21:22:49,067",Guest10690,Guest77683
28,"21:22:04,867",Guest77683,Guest10690
29,"22:06:04,733",Guest85250,Guest19159
30,"22:05:46,433",Guest19159,Guest85250
